"Greylock Partners","greylock"
"Omidyar Network","omidyar-network"
"Trinity Ventures","trinity-ventures"
"Accel Partners","accel-partners"
"Meritech Capital Partners","meritech-capital-partners"
"Founders Fund","founders-fund"
"Charles River Ventures","charles-river-ventures"
"Centennial Ventures","centennial-ventures"
"Mission Ventures","mission-ventures"
"Sevin Rosen Funds","sevin-rosen-funds"
"Austin Ventures","austin-ventures"
"Redpoint Ventures","redpoint-ventures"
"The Kinsey Hills Group","kinsey-hills-group"
"Acadia Woods Partners","acadia-woods-partners"
"Sequoia Capital","sequoia-capital"
"Index Ventures","index-ventures"
"Hutchison Whampoa Limited","hutchison-whampoa-limited"
"Cheung Kong Holdings","cheung-kong-holdings"
"Li Ka Shing Foundation","li-ka-shing-foundation"
"Foundation Capital","foundation-capital"
"August Capital","august-capital"
"Mobius Venture Capital","mobius-venture-capital"
"Draper Fisher Jurvetson (DFJ)","draper-fisher-jurvetson"
"Inflexion Partners","inflexion-partners"
"Village Ventures","village-ventures"
"First Round Capital","first-round-capital"
"Mangrove Capital Partners","mangrove-capital-partners"
"O'Reilly AlphaTech Ventures","o-reilly-alphatech-ventures"
"Atomico","atomico-investments"
"Spark Capital","spark-capital"
"The Tornante Company","the-tornante-company"
"Goldman Sachs","goldman-sachs"
"Shelter Capital Partners","shelter-capital-partners"
"Liberty Associated Partners","liberty-associated-partners"
"Herald Ventures","herald-ventures"
"Kleiner Perkins Caufield & Byers","kleiner-perkins-caufield-byers"
"Bessemer Venture Partners","bessemer-venture-partners"
"Sequel Venture Partners","sequel"
"Debaeque","debaeque"
"Union Square Ventures ","union-square-ventures"
"Fidelity Ventures","fidelity-ventures"
"Insight Venture Partners","insight-venture-partners"
"Benchmark","benchmark-1"
"Storm Ventures","storm-ventures"
"Labrador Ventures","labrador-ventures"
"Cardinal Venture Capital","cardinal-venture-capital"
"Tapuz","tapuz"
"BRM Capital","brm-capital"
"Wheatley Partners","wheatley-partners"
"Minor Ventures","minor-ventures"
"Boulder Ventures","boulder-ventures"
"High Country Venture","high-country-venture"
"Mayfield Fund","mayfield-fund"
"Ignition Partners","ignition-partners"
"Reed Elsevier Ventures","reed-elsevier"
"Flybridge Capital Partners","flybridge-capital"
"Dawntreader Ventures","dawntreader-ventures"
"Khosla Ventures","khosla-ventures"
"ZG Ventures","zg-ventures"
"Jesselson Capital","jesselson-capital"
"GrowthWorks Capital","growthworks"
"BDC Venture Capital","bdc-venture-capital-2"
"Ventures West","ventures-west"
"Anthem Venture Partners","anthem-venture-partners"
"Trident Capital","trident-capital"
"True Ventures","true-ventures"
"Radar Partners","radar-partners"
"Winton Partners","winton-partners"
"DEFTA Partners","defta-partners"
"Edmond de Rothschild Venture Capital","edmond-de-rothschild-venture-capital"
"Walden Venture Capital","waldenvc"
"Updata Partners","updata-partners"
"IDEA Fund Partners","idea-fund-partners"
"Columbia Capital","columbia-capital"
"Legg Mason","legg-mason"
"DCIF","dcif"
"Norwest Venture Partners","norwest-venture-partners"
